tweet_id,tweet_text,created_at,favorite_count,retweet_count,tweet,user_id
1591561150713724928,"Hurry to get your Sam’s Club Membership for $20 a year, 60% Off!

👉🏼 https://t.co/bL1UMqtmv0

#samsclub #deals https://t.co/cmacFmxd04",2022-11-12 22:38:42+00:00,0,0,SamsClub#deals,6431392
1591536598440505344,"Samsung Galaxy Tab S6 Lite 64G...
Reduced from $380 to $260 for members
https://t.co/pA9PfNnhqz
#Deals #newDeals… https://t.co/UPW5Od83D6",2022-11-12 21:01:09+00:00,0,0,SamsClub#deals,4161180381
1591524602559492096,"Samsung Galaxy Tab S6 Lite 64G...
Reduced from $380 to $260 for members
https://t.co/pA9PfNFqEH
#Deals #newDeals… https://t.co/qNiI2iXuYL",2022-11-12 20:13:29+00:00,0,0,SamsClub#deals,4161180381
1591518520575148032,"SimpliSafe Home Security Syste...
Reduced from $299 to $199 for members
https://t.co/A4cqkQ8yJ2
#Deals #newDeals… https://t.co/yGiXUzJg1J",2022-11-12 19:49:18+00:00,0,0,SamsClub#deals,4161180381
1591509435712765954,"RT @TheInStockRoom: Night Owl 4-Camera 10-Channel ...
Reduced from $399 to $299 for members
https://t.co/lggrIGwivN
#Deals #newDeals #savin…",2022-11-12 19:13:12+00:00,0,1,SamsClub#deals,4161180381
1591494335882792961,"RT @TheInStockRoom: Shark UltraLight Pet Corded St...
Reduced from $190 to $150 for members
https://t.co/WARCojTKqI
#Deals #newDeals #savin…",2022-11-12 18:13:12+00:00,0,1,SamsClub#deals,4161180381
1591492636028063745,"RT @MomsWhoSave: Hurry to get your Sam’s Club Membership for $20 a year, 60% Off!

👉🏼 https://t.co/bL1UMqsOFs

#samsclub #deals https://t.c…",2022-11-12 18:06:27+00:00,0,2,SamsClub#deals,6431392
1591464212768989195,"Night Owl 4-Camera 10-Channel ...
Reduced from $399 to $299 for members
https://t.co/lggrIGwivN
#Deals #newDeals… https://t.co/VDhZilPNJJ",2022-11-12 16:13:30+00:00,0,1,SamsClub#deals,4161180381
1591449010178789377,"Shark UltraLight Pet Corded St...
Reduced from $190 to $150 for members
https://t.co/WARCojTKqI
#Deals #newDeals… https://t.co/wMsg4m0cWf",2022-11-12 15:13:06+00:00,0,1,SamsClub#deals,4161180381
1591293499387031552,"Join Samsclub plus member at $110/year &amp; get

free shipping every day + 2% Sams cashback, up to $500/year… https://t.co/HVQ3jBg5B7",2022-11-12 04:55:09+00:00,0,0,SamsClub#deals,1071767762647711752
1591192909629771776,"RT @MomsWhoSave: Hurry to get your Sam’s Club Membership for $20 a year, 60% Off!

👉🏼 https://t.co/bL1UMqsOFs

#samsclub #deals https://t.c…",2022-11-11 22:15:27+00:00,0,2,SamsClub#deals,27478695
1591192809259900941,"Hurry to get your Sam’s Club Membership for $20 a year, 60% Off!

👉🏼 https://t.co/bL1UMqsOFs

#samsclub #deals https://t.co/EpNYxmmmG0",2022-11-11 22:15:03+00:00,0,2,SamsClub#deals,6431392
1590762161575723008,"RT @MomsWhoSave: Hurry to get your Sam’s Club Membership for $20 a year, 60% Off!

👉🏼 https://t.co/4b5VWG1Zuu

#samsclub #deals",2022-11-10 17:43:48+00:00,0,1,SamsClub#deals,6431392
1590504043251580928,"RT @MomsWhoSave: Hurry to get your Sam’s Club Membership for $20 a year, 60% Off!

👉🏼 https://t.co/4b5VWGj2wu

#samsclub #deals https://t.c…",2022-11-10 00:38:08+00:00,0,1,SamsClub#deals,6431392
1590432813849116672,"Hurry to get your Sam’s Club Membership for $20 a year, 60% Off!

👉🏼 https://t.co/4b5VWG1Zuu

#samsclub #deals",2022-11-09 19:55:06+00:00,0,1,SamsClub#deals,6431392
1590401126482038785,"RT @TheInStockRoom: Abbyson Living Larson 3-Piece ...
Reduced from $1,499 to $1199 for members
https://t.co/CH9iOF39PE
#Deals #newDeals #sa…",2022-11-09 17:49:11+00:00,0,1,SamsClub#deals,4161180381
1590398105706500096,"RT @TheInStockRoom: Samsung 2.1 Channel Sound Bar ...
Reduced from $220 to $150 for members
https://t.co/Ow8uJjJIwT
#Deals #newDeals #savin…",2022-11-09 17:37:11+00:00,0,1,SamsClub#deals,4161180381
1590379736320057344,"RT @TheInStockRoom: Philips Sonicare ProtectiveCle...
Reduced from $100 to $60 for members
https://t.co/YZnHE5wH4f
#Deals #newDeals #saving…",2022-11-09 16:24:11+00:00,0,1,SamsClub#deals,4161180381
1590355786726793218,"Abbyson Living Larson 3-Piece ...
Reduced from $1,499 to $1199 for members
https://t.co/CH9iOF39PE
#Deals #newDeals… https://t.co/LDYa5wVBjV",2022-11-09 14:49:01+00:00,0,1,SamsClub#deals,4161180381
1590352956259414017,"Samsung 2.1 Channel Sound Bar ...
Reduced from $220 to $150 for members
https://t.co/Ow8uJjJIwT
#Deals #newDeals… https://t.co/UN4d57TVy3",2022-11-09 14:37:46+00:00,0,1,SamsClub#deals,4161180381
1590334577838637056,"Philips Sonicare ProtectiveCle...
Reduced from $100 to $60 for members
https://t.co/YZnHE5wH4f
#Deals #newDeals… https://t.co/GJffFMn18a",2022-11-09 13:24:45+00:00,0,1,SamsClub#deals,4161180381
1590209100981235712,"Hurry to get your Sam’s Club Membership for $20 a year, 60% Off!

👉🏼 https://t.co/4b5VWGj2wu

#samsclub #deals https://t.co/NnuZg6fcji",2022-11-09 05:06:08+00:00,0,1,SamsClub#deals,6431392
1590011328822919170,"RT @TheInStockRoom: Samsung UN43TU690TFXZA 43"" 4K ...
Reduced from $300 to $250 for members
https://t.co/bLEbVtqrTi
#Deals #newDeals #savin…",2022-11-08 16:00:16+00:00,0,1,SamsClub#deals,4161180381
1589966118579576835,"Samsung UN43TU690TFXZA 43"" 4K ...
Reduced from $300 to $250 for members
https://t.co/bLEbVtqrTi
#Deals #newDeals… https://t.co/lxpv0N0tYC",2022-11-08 13:00:37+00:00,0,1,SamsClub#deals,4161180381
