tweet_id,tags
1591561150713724928,samsclub
1591561150713724928,deals
1591536598440505344,Deals
1591536598440505344,newDeals
1591524602559492096,Deals
1591524602559492096,newDeals
1591518520575148032,Deals
1591518520575148032,newDeals
1591509435712765954,Deals
1591509435712765954,newDeals
1591494335882792961,Deals
1591494335882792961,newDeals
1591492636028063745,samsclub
1591492636028063745,deals
1591464212768989195,Deals
1591464212768989195,newDeals
1591449010178789377,Deals
1591449010178789377,newDeals
1591192909629771776,samsclub
1591192909629771776,deals
1591192809259900941,samsclub
1591192809259900941,deals
1590762161575723008,samsclub
1590762161575723008,deals
1590504043251580928,samsclub
1590504043251580928,deals
1590432813849116672,samsclub
1590432813849116672,deals
1590401126482038785,Deals
1590401126482038785,newDeals
1590398105706500096,Deals
1590398105706500096,newDeals
1590379736320057344,Deals
1590379736320057344,newDeals
1590355786726793218,Deals
1590355786726793218,newDeals
1590352956259414017,Deals
1590352956259414017,newDeals
1590334577838637056,Deals
1590334577838637056,newDeals
1590209100981235712,samsclub
1590209100981235712,deals
1590011328822919170,Deals
1590011328822919170,newDeals
1589966118579576835,Deals
1589966118579576835,newDeals
1589368321794887680,Deals
1589368321794887680,newDeals
1589323001643864067,Deals
1589323001643864067,newDeals
1589026824419512320,Deals
1589026824419512320,newDeals
1588981704848543745,Deals
1588981704848543745,newDeals
1588963405939048459,Deals
1588963405939048459,newDeals
1588960379396407298,Deals
1588960379396407298,newDeals
1588957607158583297,Deals
1588957607158583297,newDeals
1588957607158583297,savings
1588948296441159682,Deals
1588948296441159682,newDeals
1588945279897796608,Deals
1588945279897796608,newDeals
1588945279897796608,savings
1588918219359899649,Deals
1588918219359899649,newDeals
1588915232642109443,Deals
1588915232642109443,newDeals
1588912297266876416,Deals
1588912297266876416,newDeals
1588912297266876416,savings
1588903109635489792,Deals
1588903109635489792,newDeals
1588900104487976962,Deals
1588900104487976962,newDeals
1588900104487976962,savings
1588626225257451521,Deals
1588626225257451521,newDeals
1588626225257451521,savings
1588581080499716096,Deals
1588581080499716096,newDeals
